English Name,Website
The University of Finance and Business Administration,https://eng.ufba.edu.vn/
The Vietnam National Institute of Education Sciences,http://www.vnies.edu.vn/
Thu Dau Mot University,https://tdmu.edu.vn/
Thuongmai University,https://tmu.edu.vn/
Tien Giang University,http://www.tgu.edu.vn/
Tokyo Human Health Sciences University Vietnam,https://tokyo-human.edu.vn/
Ton Duc Thang University,https://www.tdtu.edu.vn/
Tra Vinh University,https://www.tvu.edu.vn/
Trade Union University,http://www.dhcd.edu.vn/
Trung Vuong University,http://tv-uni.edu.vn
University of Agriculture and Forestry Ho Chi Minh City,https://www.hcmuaf.edu.vn/
University of Architecture Ho Chi Minh City,http://www.uah.edu.vn/
University of Economic and Technical Industries,https://uneti.edu.vn/
University of Economics Ho Chi Minh City,https://www.ueh.edu.vn/
University of Finance - Accounting,http://tckt.edu.vn/
University of Finance - Marketing,https://ufm.edu.vn/
University of Foreign Languages Hue University,https://huflis.edu.vn/en/
University of Hai Duong,http://uhd.edu.vn/
University of Industrial Fine Arts,http://mythuatcongnghiep.edu.vn/
University of Labour and Social Affairs,http://ulsa.edu.vn/
University of Law Ho Chi Minh City,https://www.hcmulaw.edu.vn/
University of Management and Technology Hai Phong,https://hpu.edu.vn/
University of Management and Technology Ho Chi Minh City,https://www.umt.edu.vn/
University of Medicine and Pharmacy at Ho Chi Minh City,https://ump.edu.vn/
University of Phan Thiet,http://upt.edu.vn/
University of Science and Technology of Hanoi,https://usth.edu.vn/
University of Technology and Management,https://utm.edu.vn/
University of Transport Technology,https://utt.edu.vn/
University of Transport and Communications,https://www.utc.edu.vn/
Universtiy of Economics and Finance,https://www.uef.edu.vn/
VNU University of Economics and Business,http://ueb.edu.vn/
VNU University of Education,http://education.vnu.edu.vn/
VNU University of Engineering and Technology,https://uet.vnu.edu.vn/
VNU University of Languages and International Studies,https://ulis.vnu.edu.vn/
VNU University of Law,https://law.vnu.edu.vn/
VNU University of Medicine and Pharmacy,http://ump.vnu.edu.vn/
VNU University of Science,http://hus.vnu.edu.vn/
VNU University of Social Sciences and Humanities,https://ussh.vnu.edu.vn/
VNU Vietnam - Japan University,https://vju.vnu.edu.vn/
VNUHCM - An Giang University,https://www.agu.edu.vn/
VNUHCM - International University,https://hcmiu.edu.vn/
VNUHCM - University of Economics and Law,https://www.uel.edu.vn/
VNUHCM - University of Information Technology,https://www.uit.edu.vn/
VNUHCM - University of Science,https://www.hcmus.edu.vn/
VNUHCM - University of Social Sciences and Humanities,https://hcmussh.edu.vn/
VNUHCM - University of Technology,http://www.hcmut.edu.vn/
Van Hien University,https://vhu.edu.vn/
Van Lang University,https://www.vanlanguni.edu.vn/
Van Xuan University of Technology,https://www.vxut.edu.vn/
Viet Bac University,http://tuetech.edu.vn/
Viet Nam - Hungary Industrial University,http://viu.edu.vn/
Viet Nam Academy of Dance,https://www.vnad.edu.vn/
Viet Nam Aviation Academy,https://vaa.edu.vn/
Viet Nam National Academy of Music,https://www.vnam.edu.vn/
Viet Nam University Of Traditional Medicine & Pharmacy,http://vutm.edu.vn/
Viet Tri University of Industry,http://www.vui.edu.vn/
Vietnam Academy for Ethnic Minorities,https://hvdt.edu.vn/
Vietnam Academy for Water Resources,http://www.vawr.org.vn/
Vietnam Academy of Agriculture Sciences,https://vaas.vn/
Vietnam Academy of Science and Technology,http://gust.edu.vn/
Vietnam Atomic Energy Institute,https://nri.gov.vn/
Vietnam Court Academy,http://hvta.toaan.gov.vn/
Vietnam Institute Of Agricultural Engineering And Post-Harvest Technology,http://www.viaep.org.vn/
Vietnam Institute for Building Science and Technology,http://www.ibst.vn/
Vietnam Institute for Development Strategies,http://vids.mpi.gov.vn/
Vietnam Institute of Architecture,http://vienkientrucquocgia.gov.vn/
Vietnam Institute of Geodesy and Cartography,http://www.vigac.vn/
Vietnam Institute of Geosciences and Mineral Resources,https://vigmr.vn
Vietnam Institute of Industry Chemistry,http://viic.vn/
Vietnam Maritime University,http://www.vimaru.edu.vn/
Vietnam National Institute of Culture and Arts Studies,https://vicast.org.vn/
Vietnam National University of Agriculture,https://vnua.edu.vn/
Vietnam National University of Forestry,https://vnuf.edu.vn/
Vietnam Petroleum Institute - VPI,http://www.vpi.pvn.vn/
Vietnam Sport Science Institute,http://vkhtdtt.vn/
Vietnam University of Fine Arts,https://mythuatvietnam.edu.vn/
Vietnam Women's Academy,http://hvpnvn.edu.vn/
Vietnam Youth Academy,http://vya.edu.vn/
Vietnamese - German University,https://vgu.edu.vn/vi/home
Vietnamese Academy of Forest Sciences,http://vafs.gov.vn/
VinUniversity,https://vinuni.edu.vn/
Vinh Long University of Technology Education,http://vlute.edu.vn/
Vinh Medical University,http://www.vmu.edu.vn/
Vinh University,http://vinhuni.edu.vn/
Vinh University of Technology Education,http://spktvinh.edu.vn/
Vo Truong Toan University,https://vttuniversity.com/
Water Resources University,http://www.tlu.edu.vn/
Yersin University,https://yersin.edu.vn/
